Quote,Author,About-URL,Tags
ìThe world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.î,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['change', 'deep-thoughts', 'thinking', 'world']"
"ìIt is our choices, Harry, that show what we truly are, far more than our abilities.î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,"['abilities', 'choices']"
ìThere are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.î,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['inspirational', 'life', 'live', 'miracle', 'miracles']"
"ìThe person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.î",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"['aliteracy', 'books', 'classic', 'humor']"
"ìImperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.î",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,"['be-yourself', 'inspirational']"
ìTry not to become a man of success. Rather become a man of value.î,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['adulthood', 'success', 'value']"
ìIt is better to be hated for what you are than to be loved for what you are not.î,AndrÈ Gide,https://quotes.toscrape.com/author/Andre-Gide,"['life', 'love']"
"ìI have not failed. I've just found 10,000 ways that won't work.î",Thomas A. Edison,https://quotes.toscrape.com/author/Thomas-A-Edison,"['edison', 'failure', 'inspirational', 'paraphrased']"
ìA woman is like a tea bag; you never know how strong it is until it's in hot water.î,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,['misattributed-eleanor-roosevelt']
"ìA day without sunshine is like, you know, night.î",Steve Martin,https://quotes.toscrape.com/author/Steve-Martin,"['humor', 'obvious', 'simile']"
"ìThis life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.î",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
"ìIt takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,"['courage', 'friends']"
"ìIf you can't explain it to a six year old, you don't understand it yourself.î",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['simplicity', 'understand']"
"ìYou may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfectóyou aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can breakóher heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.î",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,['love']
"ìI like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.î",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,['fantasy']
"ìI may not have gone where I intended to go, but I think I have ended up where I needed to be.î",Douglas Adams,https://quotes.toscrape.com/author/Douglas-Adams,"['life', 'navigation']"
"ìThe opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.î",Elie Wiesel,https://quotes.toscrape.com/author/Elie-Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
"ìIt is not a lack of love, but a lack of friendship that makes unhappy marriages.î",Friedrich Nietzsche,https://quotes.toscrape.com/author/Friedrich-Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
"ìGood friends, good books, and a sleepy conscience: this is the ideal life.î",Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,"['books', 'contentment', 'friends', 'friendship', 'life']"
ìLife is what happens to us while we are making other plans.î,Allen Saunders,https://quotes.toscrape.com/author/Allen-Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']"
"ìI love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.î",Pablo Neruda,https://quotes.toscrape.com/author/Pablo-Neruda,"['love', 'poetry']"
ìFor every minute you are angry you lose sixty seconds of happiness.î,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,['happiness']
"ìIf you judge people, you have no time to love them.î",Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa,['attributed-no-source']
ìAnyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.î,Garrison Keillor,https://quotes.toscrape.com/author/Garrison-Keillor,"['humor', 'religion']"
ìBeauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.î,Jim Henson,https://quotes.toscrape.com/author/Jim-Henson,['humor']
"ìToday you are You, that is truer than true. There is no one alive who is Youer than You.î",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,"['comedy', 'life', 'yourself']"
"ìIf you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.î",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['children', 'fairy-tales']"
"ìIt is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,[]
ìLogic will get you from A to Z; imagination will get you everywhere.î,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,['imagination']
"ìOne good thing about music, when it hits you, you feel no pain.î",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,['music']
"ìThe more that you read, the more things you will know. The more that you learn, the more places you'll go.î",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,"['learning', 'reading', 'seuss']"
"ìOf course it is happening inside your head, Harry, but why on earth should that mean that it is not real?î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,['dumbledore']
"ìThe truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.î",Bob Marley,https://quotes.toscrape.com/author/Bob-Marley,['friendship']
ìNot all of us can do great things. But we can do small things with great love.î,Mother Teresa,https://quotes.toscrape.com/author/Mother-Teresa,"['misattributed-to-mother-teresa', 'paraphrased']"
"ìTo the well-organized mind, death is but the next great adventure.î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,"['death', 'inspirational']"
ìAll you need is love. But a little chocolate now and then doesn't hurt.î,Charles M. Schulz,https://quotes.toscrape.com/author/Charles-M-Schulz,"['chocolate', 'food', 'humor']"
ìWe read to know we're not alone.î,William Nicholson,https://quotes.toscrape.com/author/William-Nicholson,"['misattributed-to-c-s-lewis', 'reading']"
ìAny fool can know. The point is to understand.î,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['knowledge', 'learning', 'understanding', 'wisdom']"
ìI have always imagined that Paradise will be a kind of library.î,Jorge Luis Borges,https://quotes.toscrape.com/author/Jorge-Luis-Borges,"['books', 'library']"
ìIt is never too late to be what you might have been.î,George Eliot,https://quotes.toscrape.com/author/George-Eliot,['inspirational']
"ìA reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.î",George R.R. Martin,https://quotes.toscrape.com/author/George-R-R-Martin,"['read', 'readers', 'reading', 'reading-books']"
ìYou can never get a cup of tea large enough or a book long enough to suit me.î,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,"['books', 'inspirational', 'reading', 'tea']"
ìYou believe lies so you eventually learn to trust no one but yourself.î,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,[]
"ìIf you can make a woman laugh, you can make her do anything.î",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,"['girls', 'love']"
"ìLife is like riding a bicycle. To keep your balance, you must keep moving.î",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,"['life', 'simile']"
ìThe real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.î,Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,['love']
"ìA wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.î",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,['attributed-no-source']
ìOnly in the darkness can you see the stars.î,Martin Luther King Jr.,https://quotes.toscrape.com/author/Martin-Luther-King-Jr,"['hope', 'inspirational']"
"ìIt matters not what someone is born, but what they grow to be.î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,['dumbledore']
"ìLove does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.î",James Baldwin,https://quotes.toscrape.com/author/James-Baldwin,['love']
"ìThere is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.î",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"['friendship', 'love']"
ìDo one thing every day that scares you.î,Eleanor Roosevelt,https://quotes.toscrape.com/author/Eleanor-Roosevelt,"['attributed', 'fear', 'inspiration']"
"ìI am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.î",Marilyn Monroe,https://quotes.toscrape.com/author/Marilyn-Monroe,['attributed-no-source']
"ìIf I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.î",Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,['music']
"ìIf you only read the books that everyone else is reading, you can only think what everyone else is thinking.î",Haruki Murakami,https://quotes.toscrape.com/author/Haruki-Murakami,"['books', 'thought']"
ìThe difference between genius and stupidity is: genius has its limits.î,Alexandre Dumas fils,https://quotes.toscrape.com/author/Alexandre-Dumas-fils,['misattributed-to-einstein']
"ìHe's like a drug for you, Bella.î",Stephenie Meyer,https://quotes.toscrape.com/author/Stephenie-Meyer,"['drug', 'romance', 'simile']"
ìThere is no friend as loyal as a book.î,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,"['books', 'friends', 'novelist-quotes']"
"ìWhen one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.î",Helen Keller,https://quotes.toscrape.com/author/Helen-Keller,['inspirational']
ìLife isn't about finding yourself. Life is about creating yourself.î,George Bernard Shaw,https://quotes.toscrape.com/author/George-Bernard-Shaw,"['inspirational', 'life', 'yourself']"
"ìThat's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.î",Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,['alcohol']
ìYou donít forget the face of the person who was your last hope.î,Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins,['the-hunger-games']
"ìRemember, we're madly in love, so it's all right to kiss me anytime you feel like it.î",Suzanne Collins,https://quotes.toscrape.com/author/Suzanne-Collins,['humor']
"ìTo love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.î",C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,['love']
ìNot all those who wander are lost.î,J.R.R. Tolkien,https://quotes.toscrape.com/author/J-R-R-Tolkien,"['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']"
"ìDo not pity the dead, Harry. Pity the living, and, above all those who live without love.î",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,['live-death-love']
ìThere is nothing to writing. All you do is sit down at a typewriter and bleed.î,Ernest Hemingway,https://quotes.toscrape.com/author/Ernest-Hemingway,"['good', 'writing']"
ìFinish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.î,Ralph Waldo Emerson,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson,"['life', 'regrets']"
ìI have never let my schooling interfere with my education.î,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,['education']
ìI have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!î,Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,['troubles']
ìIf I had a flower for every time I thought of you...I could walk through my garden forever.î,Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson,"['friendship', 'love']"
ìSome people never go crazy. What truly horrible lives they must lead.î,Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,['humor']
"ìThe trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.î",Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett,"['humor', 'open-mind', 'thinking']"
"ìThink left and think right and think low and think high. Oh, the thinks you can think up if only you try!î",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,"['humor', 'philosophy']"
"ìWhat really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.î",J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger,"['authors', 'books', 'literature', 'reading', 'writing']"
ìThe reason I talk to myself is because Iím the only one whose answers I accept.î,George Carlin,https://quotes.toscrape.com/author/George-Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
"ìYou may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.î",John Lennon,https://quotes.toscrape.com/author/John-Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
ìI am free of all prejudice. I hate everyone equally. î,W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields,"['humor', 'sinister']"
ìThe question isn't who is going to let me; it's who is going to stop me.î,Ayn Rand,https://quotes.toscrape.com/author/Ayn-Rand,[]
‚ÄúIf I had a flower for every time I thought of you...I could walk through my garden forever.‚Äù,Alfred Tennyson,https://quotes.toscrape.com/author/Alfred-Tennyson,"['friendship', 'love']"
‚ÄúSome people never go crazy. What truly horrible lives they must lead.‚Äù,Charles Bukowski,https://quotes.toscrape.com/author/Charles-Bukowski,['humor']
"‚ÄúThe trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.‚Äù",Terry Pratchett,https://quotes.toscrape.com/author/Terry-Pratchett,"['humor', 'open-mind', 'thinking']"
"‚ÄúThink left and think right and think low and think high. Oh, the thinks you can think up if only you try!‚Äù",Dr. Seuss,https://quotes.toscrape.com/author/Dr-Seuss,"['humor', 'philosophy']"
"‚ÄúWhat really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.‚Äù",J.D. Salinger,https://quotes.toscrape.com/author/J-D-Salinger,"['authors', 'books', 'literature', 'reading', 'writing']"
‚ÄúThe reason I talk to myself is because I‚Äôm the only one whose answers I accept.‚Äù,George Carlin,https://quotes.toscrape.com/author/George-Carlin,"['humor', 'insanity', 'lies', 'lying', 'self-indulgence', 'truth']"
"‚ÄúYou may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.‚Äù",John Lennon,https://quotes.toscrape.com/author/John-Lennon,"['beatles', 'connection', 'dreamers', 'dreaming', 'dreams', 'hope', 'inspirational', 'peace']"
‚ÄúI am free of all prejudice. I hate everyone equally. ‚Äù,W.C. Fields,https://quotes.toscrape.com/author/W-C-Fields,"['humor', 'sinister']"
‚ÄúThe question isn't who is going to let me; it's who is going to stop me.‚Äù,Ayn Rand,https://quotes.toscrape.com/author/Ayn-Rand,[]
‚Äú‚Ä≤Classic‚Ä≤ - a book which people praise and don't read.‚Äù,Mark Twain,https://quotes.toscrape.com/author/Mark-Twain,"['books', 'classic', 'reading']"
‚ÄúAnyone who has never made a mistake has never tried anything new.‚Äù,Albert Einstein,https://quotes.toscrape.com/author/Albert-Einstein,['mistakes']
"‚ÄúA lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.‚Äù",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"['humor', 'love', 'romantic', 'women']"
"‚ÄúRemember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.‚Äù",J.K. Rowling,https://quotes.toscrape.com/author/J-K-Rowling,['integrity']
"‚ÄúI declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.‚Äù",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"['books', 'library', 'reading']"
"‚ÄúThere are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.‚Äù",Jane Austen,https://quotes.toscrape.com/author/Jane-Austen,"['elizabeth-bennet', 'jane-austen']"
‚ÄúSome day you will be old enough to start reading fairy tales again.‚Äù,C.S. Lewis,https://quotes.toscrape.com/author/C-S-Lewis,"['age', 'fairytales', 'growing-up']"
